"ASHLAND OIL" ,5-18-100-7,342,303,23,32,3,0,0,0,0,344,359,703,A106
"ENGLAND HILL" ,4-18-100-7,601,578,36,55,2,1,0,0,0,606,667,1273,A107
"DURBIN" ,5-18-100-7,297,291,18,22,2,0,1,0,0,318,313,631,A108
"EAST FORK" ,5-18-100-7,238,264,21,21,0,0,0,0,0,277,267,544,A109
"ELMWOOD-HILL TOP" ,4-18-100-7,569,441,63,89,4,1,0,0,0,527,639,1167,A110
"GARTRELL" ,4-18-100-7,403,296,20,60,6,1,1,0,1,363,424,788,A111
"GARTIN" ,4-18-100-7,342,326,26,41,2,0,0,0,0,338,399,737,A113
"CARP" ,4-18-100-7,287,170,29,39,2,0,0,0,0,234,292,527,A114
"SOUTH ASHLAND" ,4-18-100-7,470,436,56,51,3,1,2,0,0,447,571,1019,A115
"RATCLIFF" ,4-18-100-7,393,293,24,34,4,0,0,0,0,337,411,748,A116
"FANNIN 1" ,5-18-100-7,556,715,46,60,5,0,0,0,0,681,700,1382,A118
"FANNIN 2" ,5-18-100-7,459,428,29,35,7,0,0,0,0,457,501,958,A119
"CANNONSBURG" ,5-18-100-7,463,462,32,56,9,0,0,0,0,480,541,1022,A121
"MARSH RUN" ,4-18-100-7,10,5,0,0,0,0,0,0,0,9,6,15,A122
"CENTRAL" ,4-18-100-7,598,508,53,95,5,1,0,0,1,638,623,1261,B101
"POLLARD" ,4-18-100-7,588,397,57,86,5,1,0,1,0,454,681,1135,B102
"LEWIS" ,4-18-100-7,549,350,47,80,5,2,0,0,0,450,582,1033,B103
"DEBORD-TANNERY" ,4-18-100-7,551,392,65,91,7,0,0,0,0,546,557,1106,B105
"BARBER" ,4-18-100-7,436,363,46,48,5,0,1,0,0,379,520,899,B106
"VINCENT" ,4-18-100-7,210,284,17,20,4,0,0,0,0,260,275,535,B107
"MT ADAMS" ,4-18-100-7,334,322,20,38,2,0,0,0,0,338,378,716,B108
"PRICHARD" ,4-18-100-7,550,472,42,78,3,0,0,0,0,518,627,1145,B109
