-- This file was modified from its original using excel.  the OTH column is the sum of columns C,E,F,G,H,K,L,O,P,V,W,N,U
-- We will use District, Precinct, AKI, DEM, REP, and OTH; OTH+AKI+DEM+REP should equal Voters in this file.
District,Precinct,Voters,AKI,DEM,REP,C,E,F,G,H,K,L,O,P,V,W,N,U,OTH
DISTRICT 11,11-095 SPRINGER LOOP,2015,52,137,691,2,2,0,4,0,0,17,0,0,6,1,284,819,1140
DISTRICT 11,11-099 LAZY MOUNTAIN,1233,31,103,416,1,0,0,5,0,0,7,0,0,2,0,184,484,685
DISTRICT 12,12-200 FAIRVIEW NO. 1,1677,47,102,571,0,0,0,0,0,0,18,0,0,4,2,210,723,959
DISTRICT 12,12-205 FAIRVIEW NO. 2,1851,54,123,713,1,0,0,2,0,0,18,1,2,1,2,246,688,960
DISTRICT 12,12-210 SNOWSHOE,2804,89,176,1060,8,0,0,5,1,1,25,2,0,5,0,299,1133,1484
DISTRICT 12,12-220 BUTTE,3829,130,317,1285,0,2,0,5,1,0,49,1,0,7,0,521,1511,2104
DISTRICT 12,12-225 EKLUTNA,2075,46,203,721,3,1,0,3,0,0,32,0,0,2,0,303,761,1107
DISTRICT 12,12-230 PETERS CREEK NO. 1,2784,63,211,1018,3,2,0,1,1,0,32,0,1,4,0,407,1041,1496
DISTRICT 12,12-233 PETERS CREEK NO. 2,1658,45,123,570,0,3,0,5,0,0,24,0,0,3,0,254,631,923
DISTRICT 13,13-235 CHUGIAK,1411,42,112,437,2,1,0,2,1,0,12,0,0,4,0,211,587,824
DISTRICT 13,13-240 FIRE LAKE,2384,66,220,874,3,2,0,4,0,0,22,0,0,4,1,351,837,1227
DISTRICT 13,13-245 JBER NO. 1,4630,99,586,1461,6,4,0,3,0,0,60,1,2,38,0,587,1783,2522
DISTRICT 13,13-250 DWNTN E. RIVER NO. 1,3139,93,329,853,0,2,0,3,0,0,47,2,2,22,0,412,1374,1886
DISTRICT 13,13-255 CHUGACH PARK NO. 1,1725,33,173,622,2,1,0,2,0,0,13,2,0,4,0,261,612,901
DISTRICT 13,13-260 CENTENNIAL PARK,377,17,101,75,0,0,0,0,0,0,3,0,0,0,0,50,131,184
DISTRICT 14,14-940 DWNTN E. RIVER NO. 2,2335,54,246,768,3,2,0,2,0,0,37,0,2,1,0,393,827,1268
DISTRICT 14,14-945 MEADOW CREEK NO. 1,1377,49,122,415,1,1,0,4,0,0,21,0,1,3,0,180,580,794
DISTRICT 14,14-950 MEADOW CREEK NO. 2,2011,63,189,733,3,0,0,0,1,0,18,0,0,6,0,303,695,1032
DISTRICT 14,14-955 EAGLE RIVER NO. 1,1101,35,127,362,0,2,0,5,0,0,12,0,0,2,0,153,403,579
DISTRICT 14,14-960 EAGLE RIVER NO. 2,2858,75,348,1046,1,2,0,6,0,0,29,1,3,13,0,384,950,1402
DISTRICT 14,14-965 CHUGACH PARK NO. 2,4321,104,476,1530,8,4,0,5,1,0,59,0,2,11,0,638,1483,2222
DISTRICT 14,14-970 HILAND,2634,59,291,937,1,4,0,1,1,0,25,0,1,3,2,403,906,1348
DISTRICT 15,15-300 JBER NO. 2,3007,61,355,921,3,3,0,2,0,0,54,2,0,13,2,337,1254,1681
DISTRICT 15,15-305 CREEKSIDE PARK,2633,72,422,570,1,2,0,7,0,0,47,2,0,9,0,299,1202,1578
DISTRICT 15,15-310 MULDOON NO. 1,2096,57,368,303,4,1,0,4,1,0,39,0,0,6,1,253,1059,1373
DISTRICT 15,15-315 MULDOON NO. 2,2022,58,259,319,1,2,0,4,0,0,29,0,2,5,0,237,1106,1391
DISTRICT 15,15-320 NORTH MULDOON,2771,78,429,406,6,0,0,8,0,0,44,1,0,14,0,337,1448,1872
DISTRICT 16,16-325 RUSSIAN JACK,1568,55,272,273,0,0,0,2,0,0,25,0,0,7,0,242,692,975
